行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
大里區,24.0,150.32,26.56317378,5,12,住,3,2,2,1,坡道平面,2017/9/3,120.69158700000001,24.103622,603
西屯區,19.58,142.12,23.78419817,5,8,住,3,2,2,1,坡道平面,2017/3/13,120.649303,24.160919,820
北屯區,19.47,112.62,3.67700911,11,11,住,3,2,2,1,坡道機械,2018/5/20,120.717522,24.172619,575
南屯區,23.82,76.48,37.17803925,3,5,住,2,2,1,0,無,2019/5/13,120.63665,24.140398,356
北屯區,24.59,132.98,28.50708776,5,7,住,4,2,2,1,坡道平面,2018/4/8,120.6812,24.176504,558
西屯區,4.07,22.93,27.37359426,5,5,住,1,1,1,1,無,2017/3/13,120.64003559999999,24.18146845,130
西區,2.74,35.73,23.59528259,11,19,住,1,0,1,1,無,2018/8/18,120.667952,24.129922,180
大雅區,24.21,134.06,5.549737502999999,11,12,住,2,2,2,1,坡道機械,2019/9/13,120.652143,24.21956,780
西屯區,3.0,33.26,20.38371767,8,14,住,1,0,1,1,無,2018/9/15,120.643557,24.178058,191
北區,24.14,101.92,31.33534569,5,5,住,3,2,2,0,無,2019/6/12,120.69658999999999,24.160195,360
北屯區,20.53,142.93,3.006221894,13,14,住,3,2,2,1,坡道平面,2018/12/30,120.740504,24.161138,728
中區,6.66,41.73,41.01110906,10,11,住,1,1,1,1,無,2018/7/23,120.68025700000001,24.138643,120
北屯區,13.62,174.33,0.09856465199999999,20,28,商,3,2,2,1,坡道平面,2017/5/26,120.697477,24.171067999999998,1145
北屯區,29.02,195.55,5.336180757,14,15,住,3,2,2,1,坡道平面,2018/6/4,120.6994,24.168253,1108
北屯區,15.34,94.51,24.90400214,4,9,住,3,2,2,1,無,2019/3/22,120.69086499999999,24.17922,438
南屯區,14.32,67.43,24.33177957,5,5,住,3,0,3,0,無,2017/5/5,120.652671,24.151533999999998,360
西屯區,23.38,148.89,22.65070467,2,7,住,3,1,2,1,坡道機械,2019/5/15,120.649303,24.160919,1100
南屯區,23.14,143.52,0.287480236,4,10,住,3,2,2,1,坡道平面,2018/7/27,120.628477,24.150848999999997,1265
北區,9.74,53.67,25.41325284,4,7,住,1,1,1,1,無,2019/10/29,120.677681,24.162804,252
北區,2.86,33.26,18.97917137,18,20,住,1,1,1,1,無,2018/6/8,120.671653,24.173351,175
南屯區,14.28,173.1,19.54865603,3,14,住,4,2,2,1,坡道機械,2018/6/21,120.63348899999998,24.153454,1020
北屯區,39.52,234.8,2.236870025,2,13,住,4,2,2,1,坡道平面,2019/5/16,120.69599099999999,24.18511,1650
北屯區,4.92,34.54,24.99709097,3,14,住,1,1,1,1,無,2017/5/28,120.697061,24.166584,150
南屯區,11.86,124.93,4.736579122,2,14,住,2,2,2,1,坡道機械,2018/7/13,120.61816200000001,24.158269,700
北屯區,19.6,84.83,30.26756196,3,5,住,3,2,1,0,無,2017/3/30,120.680135,24.175946,327
北屯區,12.75,130.59,22.817717000000002,12,22,住,3,2,2,1,無,2019/6/7,120.70043899999999,24.179368,620
北屯區,14.5,118.52,18.90798579,12,12,住,3,1,1,1,坡道平面,2018/5/8,120.70312,24.186776000000002,560
西屯區,22.22,162.29,23.04770118,8,14,住,3,2,2,1,坡道機械,2016/10/21,120.668644,24.175972,800
北區,2.58,30.17,23.4830284,7,21,住,1,1,1,1,無,2018/11/30,120.672301,24.164657000000002,123
南屯區,30.68,189.27,23.02306002,10,15,住,3,2,2,1,坡道平面,2017/7/26,120.642224,24.136772,1058
西屯區,11.02,174.26,8.391684976,18,26,住,3,2,2,1,坡道平面,2018/6/4,120.593303,24.182435,1030
西屯區,3.84,38.1,23.19554816,3,9,住,1,0,1,1,升降機械,2019/9/11,120.64973300000001,24.160228,300
南屯區,14.49,114.41,24.55355004,3,8,住,3,2,2,1,坡道平面,2017/11/14,120.61250600000001,24.149654,450
西屯區,8.1,63.6,22.36322443,3,19,住,2,2,1,1,無,2018/10/7,120.62158400000001,24.186232999999998,390
北屯區,25.62,147.65,2.5051849109999997,3,14,住,3,2,2,1,坡道平面,2017/12/16,120.737982,24.159845999999998,680
南屯區,53.07,202.07,2.338172584,8,17,住,3,2,2,1,坡道平面,2019/8/11,120.62576299999999,24.151623999999998,1980
